,BusinessName,Address,City,State,ZIP,location,coordinates,longitude,lattitude
0,"Richards Cosmetic Surgery, Med Spa & Laser Center",3860 S Hualapai Way,Las Vegas,NV,89147,3860 S Hualapai Way Las Vegas NV 89147,"[-115.31436, 36.120195]",-115.31436,36.120195
1,OrangeTwist,10000 W Sahara Ave,Las Vegas,NV,89117,10000 W Sahara Ave Las Vegas NV 89117,"[-115.313125, 36.145515]",-115.313125,36.145515
2,Beverly Hills Rejuvenation Center - Boca Park,750 S Rampart Blvd Suite 4,Las Vegas,NV,89117,750 S Rampart Blvd Suite 4 Las Vegas NV 89145,"[-115.28944, 36.164]",-115.28944,36.164
3,Ideal Image Summerlin,1925 Village Center Cir Suite 130,Las Vegas,NV,89134,1925 Village Center Cir Suite 130 Las Vegas NV 89134,"[-115.303535, 36.192585]",-115.303535,36.192585
4,Belle Medical,6200 N Durango Dr Suite 110,Las Vegas,NV,89149,6200 N Durango Dr Suite 110 Las Vegas NV 89149,"[-115.283115, 36.274785]",-115.283115,36.274785
5,Laser Away,6551 Las Vegas Blvd S Ste R-144,Las Vegas,NV,89119,6551 Las Vegas Blvd S Ste R-144 Las Vegas NV 89119,"[-115.17668, 36.06942]",-115.17668,36.06942
6,Face Forward Aesthetics,2649 Wigwam Pkwy Suite 101,Henderson,NV,89074,2649 Wigwam Pkwy Suite 101 Henderson NV 89074,"[-115.102148, 36.03366]",-115.102148,36.03366
7,Elements Salon & Wellness Spa,6461 N Durango Dr,Las Vegas,NV,89149,6461 N Durango Dr Las Vegas NV 89149,"[-115.27891, 36.27858]",-115.27891,36.27858
8,Body Wellness MD,501 S Rancho Dr Suite F-38,Las Vegas,NV,89106,501 S Rancho Dr Suite F-38 Las Vegas NV 89106,"[-115.17241, 36.16615]",-115.17241,36.16615
9,Golden Nugget Las Vegas Hotel & Casino,129 E Fremont St,Las Vegas,NV,89101,129 E Fremont St Las Vegas NV 89101,"[-115.14138, 36.16946]",-115.14138,36.16946
10,Planet Hollywood Spa by Mandara,3667 S Las Vegas Blvd,Las Vegas,NV,89109,3667 S Las Vegas Blvd Las Vegas NV 89109,"[-115.17189, 36.11016]",-115.17189,36.11016
11,Simplicity Laser,7591 W Washington Ave #140,Las Vegas,NV,89128,7591 W Washington Ave #140 Las Vegas NV 89128,"[-115.25917, 36.18088]",-115.25917,36.18088
12,The Platinum Hotel & Spa,211 E Flamingo Rd,Las Vegas,NV,89169,211 E Flamingo Rd Las Vegas NV 89169,"[-115.16367, 36.11433]",-115.16367,36.11433
13,M Resort Spa Casino,12300 Las Vegas Blvd S,Henderson,NV,89044,12300 Las Vegas Blvd S Henderson NV 89044,"[-115.16864, 35.96485]",-115.16864,35.96485
14,Foxy Med Spa,6725 S Eastern Ave Suite #3,Las Vegas,NV,89119,6725 S Eastern Ave Suite #3 Las Vegas NV 89119,"[-115.1192, 36.067585]",-115.1192,36.067585
15,Massage 1,6446 N Durango Dr STE 130,Las Vegas,NV,89149,6446 N Durango Dr STE 130 Las Vegas NV 89149,"[-115.27876, 36.27827]",-115.27876,36.27827
16,Well Spa Salon,211 E Flamingo Rd,Las Vegas,NV,89169,211 E Flamingo Rd Las Vegas NV 89169,"[-115.16367, 36.11433]",-115.16367,36.11433
17,Spa At The LINQ,3535 S Las Vegas Blvd,Las Vegas,NV,89109,3535 S Las Vegas Blvd Las Vegas NV 89109,"[-115.1707, 36.11834]",-115.1707,36.11834
18,Elements Massage,1215 S Fort Apache Rd,#150,NV,89117,1215 S Fort Apache Rd #150 NV 89117,"[-115.2926, 36.15704]",-115.2926,36.15704
19,Sono Bello Las Vegas,7455 Arroyo Crossing Pkwy Ste 100,Las Vegas,NV,89113,7455 Arroyo Crossing Pkwy Ste 100 Las Vegas NV 89113,"[-115.25207, 36.05251]",-115.25207,36.05251
20,LOOK STYLE SOCIETY,6539 S Las Vegas Blvd,Las Vegas,NV,89119,6539 S Las Vegas Blvd Las Vegas NV 89119,"[-115.17249, 36.07006]",-115.17249,36.07006
21,Las Vegas Laser Skin Care,3655 S Durango Dr Ste 24,Las Vegas,NV,89147,3655 S Durango Dr Ste 24 Las Vegas NV 89147,"[-115.27962, 36.12322]",-115.27962,36.12322
22,Stretch Zone,4965 Blue Diamond Rd,Las Vegas,NV,89139,4965 Blue Diamond Rd Las Vegas NV 89139,"[-115.2088, 36.03121]",-115.2088,36.03121
23,PlushCare Primary Health,101 Mission St Suite 800,Las Vegas,NV,89109,101 Mission St Suite 800 Las Vegas NV 89109,"[-115.151764, 36.139254]",-115.151764,36.139254
25,HairClub,500 N Rainbow Blvd,Las Vegas,NV,89107,500 N Rainbow Blvd Las Vegas NV 89107,"[-115.24163, 36.17807]",-115.24163,36.17807
26,Bosley Hair Transplant & Restoration,500 North Rainbow Boulevard,Las Vegas,NV,89107,500 North Rainbow Boulevard Las Vegas NV 89107,"[-115.24163, 36.17807]",-115.24163,36.17807
27,Sam's Club,2650 E Craig Rd,North Las Vegas,NV,89030,2650 E Craig Rd North Las Vegas NV 89030,"[-115.11363, 36.24175]",-115.11363,36.24175
28,Luxe Beauty Salon,2225 N Rampart Blvd,Las Vegas,NV,89128,2225 N Rampart Blvd Las Vegas NV 89128,"[-115.28149, 36.20086]",-115.28149,36.20086
29,NIMA Institute and Spa,3993 Howard Hughes Pkwy Suite 150,Las Vegas,NV,89169,3993 Howard Hughes Pkwy Suite 150 Las Vegas NV 89169,"[-115.15861, 36.1173]",-115.15861,36.1173
30,Euphoria Institute of Beauty Arts & Sciences,9340 W Sahara Ave Suite 205,Las Vegas,NV,89117,9340 W Sahara Ave Suite 205 Las Vegas NV 89117,"[-115.2984, 36.14624]",-115.2984,36.14624
31,Milan Institute - Las Vegas,710 S Tonopah Dr,Las Vegas,NV,89106,710 S Tonopah Dr Las Vegas NV 89106,"[-115.17008, 36.16243]",-115.17008,36.16243
32,MD Laser Med Spa,7175 W Lake Mead Blvd,Las Vegas,NV,89128,7175 W Lake Mead Blvd Las Vegas NV 89128,"[-115.24813, 36.19553]",-115.24813,36.19553
33,MICRO MED SPA,1650 E Sahara Ave #2,Las Vegas,NV,89104,1650 E Sahara Ave #2 Las Vegas NV 89104,"[-115.128725, 36.14472]",-115.128725,36.14472
34,Beverly Hills Rejuvenation Center,1825 Festival Plaza Dr #180,Las Vegas,NV,89135,1825 Festival Plaza Dr #180 Las Vegas NV 89135,"[-115.3343, 36.15128]",-115.3343,36.15128
35,Grand Hills Med Spa,11251 S Eastern Ave #140,Henderson,NV,89052,11251 S Eastern Ave #140 Henderson NV 89052,"[-115.101921, 35.98754]",-115.101921,35.98754
36,Massage Envy,9484 W Flamingo Rd Suite 150,Las Vegas,NV,89147,9484 W Flamingo Rd Suite 150 Las Vegas NV 89147,"[-115.29954, 36.11509]",-115.29954,36.11509
37,Red Rock Casino Resort and Spa,11011 W Charleston Blvd,Las Vegas,NV,89135,11011 W Charleston Blvd Las Vegas NV 89135,"[-115.332185, 36.153945]",-115.332185,36.153945
38,Ideal Aesthetics,6028 S Fort Apache Rd Suite 101,Las Vegas,NV,89148,6028 S Fort Apache Rd Suite 101 Las Vegas NV 89148,"[-115.29716, 36.07878]",-115.29716,36.07878
39,Bellagio Spa & Salon,Bellagio Dr,Las Vegas,NV,89109,Bellagio Dr Las Vegas NV 89109,"[-115.174544088398, 36.111300966576]",-115.174544088398,36.111300966576
40,Aveda Institute Las Vegas,4856 S Eastern Ave,Las Vegas,NV,89119,4856 S Eastern Ave Las Vegas NV 89119,"[-115.11785, 36.10121]",-115.11785,36.10121
41,Revenge MD,2405 W Horizon Ridge Pkwy #100,Henderson,NV,89052,2405 W Horizon Ridge Pkwy #100 Henderson NV 89052,"[-115.092715, 36.00503]",-115.092715,36.00503
42,Eterne Beauty,2820 W Charleston Blvd #38,Las Vegas,NV,89102,2820 W Charleston Blvd #38 Las Vegas NV 89102,"[-115.180513, 36.160458]",-115.180513,36.160458
43,The IV Medspa,3220 S Durango Dr Ste B3,Las Vegas,NV,89117,3220 S Durango Dr Ste B3 Las Vegas NV 89117,"[-115.278455, 36.13082]",-115.278455,36.13082
44,Mia Aesthetics Las Vegas,8871 W Sahara Ave,Las Vegas,NV,89117,8871 W Sahara Ave Las Vegas NV 89117,"[-115.28989, 36.14296]",-115.28989,36.14296
45,Elegant IV Lounge,7448 W Sahara Ave,Las Vegas,NV,89117,7448 W Sahara Ave Las Vegas NV 89117,"[-115.25484, 36.14534]",-115.25484,36.14534
46,The Fisher Center for Aesthetic,6539 Las Vegas Blvd S Ste 111,Las Vegas,NV,89119,6539 Las Vegas Blvd S Ste 111 Las Vegas NV 89119,"[-115.17249, 36.07006]",-115.17249,36.07006
47,BeYoutiful Spa Las Vegas,11135 S Eastern Ave,Henderson,NV,89052,11135 S Eastern Ave Henderson NV 89052,"[-115.102107, 35.99002]",-115.102107,35.99002
48,Radiant Beauty Skin Care Med Spa,2080 E Flamingo Rd,Las Vegas,NV,89119,2080 E Flamingo Rd Las Vegas NV 89119,"[-115.12454, 36.11565]",-115.12454,36.11565
49,Eterne Beauty,2820 W Charleston Blvd,Las Vegas,NV,89102,2820 W Charleston Blvd Las Vegas NV 89102,"[-115.180513, 36.160458]",-115.180513,36.160458
50,LV Tamed Body,1810 E Sahara Ave,Las Vegas,NV,89104,1810 E Sahara Ave Las Vegas NV 89104,"[-115.12486, 36.145165]",-115.12486,36.145165
51,SOS WAX and Skincare - Aliante,6180 N Decatur Blvd,North Las Vegas,NV,89031,6180 N Decatur Blvd North Las Vegas NV 89031,"[-115.210185, 36.273035]",-115.210185,36.273035
52,The Skin Clinic at Esthetique Plastique,8954 Spanish Ridge Ave #101,Las Vegas,NV,89148,8954 Spanish Ridge Ave #101 Las Vegas NV 89148,"[-115.287785, 36.090955]",-115.287785,36.090955
53,Chic la Vie Med Spa,7650 W Sahara Ave suite 3,Las Vegas,NV,89117,7650 W Sahara Ave suite 3 Las Vegas NV 89117,"[-115.25789, 36.14438]",-115.25789,36.14438
54,Advanced Aesthetics,2150 S Rainbow Blvd,Las Vegas,NV,89146,2150 S Rainbow Blvd Las Vegas NV 89146,"[-115.24242, 36.148435]",-115.24242,36.148435
55,The I.V. Doc Las Vegas,400 S 4th St UNIT 563,Las Vegas,NV,89101,400 S 4th St UNIT 563 Las Vegas NV 89101,"[-115.14457, 36.16602]",-115.14457,36.16602
56,Deux Rosé Beauty Refinery,9340 W Martin Ave,Las Vegas,NV,89101,9340 W Martin Ave Las Vegas NV 89101,"[-115.29627, 36.06731]",-115.29627,36.06731
57,bluepoint medical spa,3320 N Buffalo Dr #103,Las Vegas,NV,89129,3320 N Buffalo Dr #103 Las Vegas NV 89129,"[-115.25985, 36.22155]",-115.25985,36.22155
58,REVIV Las Vegas Palazzo - IV Therapy,3327 S Las Vegas Blvd,Las Vegas,NV,89109,3327 S Las Vegas Blvd Las Vegas NV 89109,"[-115.168261, 36.124203]",-115.168261,36.124203
59,Las Vegas Aesthetics,9081 W Sahara Ave STE 230,Las Vegas,NV,89117,9081 W Sahara Ave STE 230 Las Vegas NV 89117,"[-115.29496, 36.14305]",-115.29496,36.14305
60,The Spa At Lakes Dermatology,8861 W Sahara Ave,Las Vegas,NV,89117,8861 W Sahara Ave Las Vegas NV 89117,"[-115.29014, 36.14361]",-115.29014,36.14361
61,"Transformations, Anti-Aging MedSpa & Wellness Center",2931 N Tenaya Way,Las Vegas,NV,89128,2931 N Tenaya Way Las Vegas NV 89128,"[-115.251, 36.21462]",-115.251,36.21462
62,Beauty by Design Med Spa,5375 S Fort Apache Rd Suite 101,Las Vegas,NV,89117,5375 S Fort Apache Rd Suite 101 Las Vegas NV 89117,"[-115.29829, 36.09113]",-115.29829,36.09113
63,LightRx - Las Vegas - Summerlin,9360 W Flamingo Rd #104,Las Vegas,NV,89147,9360 W Flamingo Rd #104 Las Vegas NV 89147,"[-115.29564, 36.11502]",-115.29564,36.11502
64,Regenerate Me IV Linq Hotel & Casino,3535 S Las Vegas Blvd #G101,Las Vegas,NV,89109,3535 S Las Vegas Blvd #G101 Las Vegas NV 89109,"[-115.1707, 36.11834]",-115.1707,36.11834
65,A Perfect You LV,6461 N Durango Dr,Las Vegas,NV,89149,6461 N Durango Dr Las Vegas NV 89149,"[-115.27891, 36.27858]",-115.27891,36.27858
66,Dr. K Beauty,7710 W Sahara Ave suite 102C,Las Vegas,NV,89117,7710 W Sahara Ave suite 102C Las Vegas NV 89117,"[-115.25934, 36.14473]",-115.25934,36.14473
67,"Thomas Pulice, PA-C",9081 W Sahara Ave STE 230,Las Vegas,NV,89117,9081 W Sahara Ave STE 230 Las Vegas NV 89117,"[-115.29496, 36.14305]",-115.29496,36.14305
68,InstaCryo,7175 W Lake Mead Blvd Suite 168,Las Vegas,NV,89128,7175 W Lake Mead Blvd Suite 168 Las Vegas NV 89128,"[-115.24813, 36.19553]",-115.24813,36.19553
69,Tighten & Tone Las Vegas,7045 W Ann Rd #130,Las Vegas,NV,89130,7045 W Ann Rd #130 Las Vegas NV 89130,"[-115.24845, 36.26302]",-115.24845,36.26302
70,Ageless Mens Health,2911 N Tenaya Way #105,Las Vegas,NV,89128,2911 N Tenaya Way #105 Las Vegas NV 89128,"[-115.2502, 36.21396]",-115.2502,36.21396
71,Canyon Ranch Spa + Fitness Las Vegas,3355 S Las Vegas Blvd #1159,Las Vegas,NV,89109,3355 S Las Vegas Blvd #1159 Las Vegas NV 89109,"[-115.1711, 36.12262]",-115.1711,36.12262
72,Spoiled Laser,8665 W Flamingo Rd #109,Las Vegas,NV,89147,8665 W Flamingo Rd #109 Las Vegas NV 89147,"[-115.2807, 36.11436]",-115.2807,36.11436
73,TrimCare,5052 S Jones Blvd Suite 145,Las Vegas,NV,89148,5052 S Jones Blvd Suite 145 Las Vegas NV 89148,"[-115.22444, 36.09683]",-115.22444,36.09683
74,Plastic Surgery Vegas,8530 W Sunset Rd Ste 130,Las Vegas,NV,89113,8530 W Sunset Rd Ste 130 Las Vegas NV 89113,"[-115.27768, 36.07137]",-115.27768,36.07137
75,Vjazzy Wellness,900 S Valley View Blvd #100,Las Vegas,NV,89107,900 S Valley View Blvd #100 Las Vegas NV 89107,"[-115.19286, 36.16121]",-115.19286,36.16121
76,MyShape Lipo,2610 W Horizon Ridge Pkwy #203,Henderson,NV,89052,2610 W Horizon Ridge Pkwy #203 Henderson NV 89052,"[-115.102411, 36.002865]",-115.102411,36.002865
77,HEALOR,3900 W Charleston Blvd Ste 170,Las Vegas,NV,89102,3900 W Charleston Blvd Ste 170 Las Vegas NV 89102,"[-115.19247, 36.15915]",-115.19247,36.15915
78,El Cortez Hotel and Casino,600 E Fremont St,Las Vegas,NV,89101,600 E Fremont St Las Vegas NV 89101,"[-115.138625, 36.169095]",-115.138625,36.169095
79,Las Vegas Spa Association,3935 W Reno Ave Suite i,Las Vegas,NV,89101,3935 W Reno Ave Suite i Las Vegas NV 89118,"[-115.1916, 36.09676]",-115.1916,36.09676
80,Muller Sigfrid A MD,630 S Rancho Dr suite e,Las Vegas,NV,89106,630 S Rancho Dr suite e Las Vegas NV 89106,"[-115.17389, 36.16303]",-115.17389,36.16303
81,The Stirling Club,2827 Paradise Rd,Las Vegas,NV,89109,2827 Paradise Rd Las Vegas NV 89109,"[-115.15641, 36.13753]",-115.15641,36.13753
82,Infinity Massage & Spa,8335 S Las Vegas Blvd,Las Vegas,NV,89123,8335 S Las Vegas Blvd Las Vegas NV 89123,"[-115.17489, 36.03797]",-115.17489,36.03797
83,Reynolds Plastic Surgery,5550 Painted Mirage Rd #217,Las Vegas,NV,89149,5550 Painted Mirage Rd #217 Las Vegas NV 89149,"[-115.25499, 36.26188]",-115.25499,36.26188
84,Good Samaritan - Health Clinic Las Vegas,3201 S Maryland Pkwy Suite 314,Las Vegas,NV,89109,3201 S Maryland Pkwy Suite 314 Las Vegas NV 89109,"[-115.13778, 36.13166]",-115.13778,36.13166
85,Westgate Las Vegas Resort & Casino,3000 Paradise Rd,Las Vegas,NV,89109,3000 Paradise Rd Las Vegas NV 89109,"[-115.1529, 36.13698]",-115.1529,36.13698
86,Herte Center For Cosmetic Surgery,7281 W Sahara Ave Suite 100,Las Vegas,NV,89117,7281 W Sahara Ave Suite 100 Las Vegas NV 89117,"[-115.2516, 36.14241]",-115.2516,36.14241
87,Lakes Dermatology,8861 W Sahara Ave #290,Las Vegas,NV,89117,8861 W Sahara Ave #290 Las Vegas NV 89117,"[-115.29014, 36.14361]",-115.29014,36.14361
88,Lasting Smiles Dental Care,4011 Meadows Ln #101,Las Vegas,NV,89107,4011 Meadows Ln #101 Las Vegas NV 89107,"[-115.19439, 36.169545]",-115.19439,36.169545
89,Ageless Forever,6020 S Rainbow Blvd suite c,Las Vegas,NV,89107,6020 S Rainbow Blvd suite c Las Vegas NV 89118,"[-115.2418, 36.07939]",-115.2418,36.07939
90,"IMR Massage Eastern - Sports Massage, Cupping Therapy, Deep Tissue, Facials, Sauna",8872 S Eastern Ave #103,Las Vegas,NV,89123,8872 S Eastern Ave #103 Las Vegas NV 89123,"[-115.11833, 36.02825]",-115.11833,36.02825
91,Centennial Hills Salon,7991 W Tropical Pkwy Suite 120,Las Vegas,NV,89149,7991 W Tropical Pkwy Suite 120 Las Vegas NV 89149,"[-115.26958, 36.2702]",-115.26958,36.2702
92,Four Seasons Hotel Las Vegas,3960 S Las Vegas Blvd,Las Vegas,NV,89119,3960 S Las Vegas Blvd Las Vegas NV 89119,"[-115.17298, 36.09211]",-115.17298,36.09211
93,Family Doctors Medical Center,1703 Civic Center Dr # 6,North Las Vegas,NV,89030,1703 Civic Center Dr # 6 North Las Vegas NV 89030,"[-115.11709, 36.19107]",-115.11709,36.19107
94,Forever Flawless,"Las Vegas, NV 89119",Las Vegas,NV,89119,"Las Vegas, NV 89119 Las Vegas NV 89119","[-115.148447, 36.078117]",-115.148447,36.078117
95,Stem Cell Therapy Of Las Vegas & Medical Spa,2110 E Flamingo Rd Ste 333,Las Vegas,NV,89119,2110 E Flamingo Rd Ste 333 Las Vegas NV 89119,"[-115.12317, 36.115655]",-115.12317,36.115655
96,H W Medical Spa & Colonics,9895 S Maryland Pkwy,Las Vegas,NV,89183,9895 S Maryland Pkwy Las Vegas NV 89183,"[-115.137315, 36.010155]",-115.137315,36.010155
97,Serenity Spa by Westgate,3000 Paradise Road,Las Vegas,NV,89109,3000 Paradise Road Las Vegas NV 89109,"[-115.1529, 36.13698]",-115.1529,36.13698
98,Vida Spa,3225 S Rainbow Blvd Ste 107,Las Vegas,NV,89146,3225 S Rainbow Blvd Ste 107 Las Vegas NV 89146,"[-115.24345, 36.13044]",-115.24345,36.13044
99,Oleksandra Spa & Salon,3300 Las Vegas Blvd S,Las Vegas,NV,89109,3300 Las Vegas Blvd S Las Vegas NV 89109,"[-115.172397, 36.124527]",-115.172397,36.124527
100,Downtown Grand Hotel & Casino,206 N 3rd St,Las Vegas,NV,89101,206 N 3rd St Las Vegas NV 89101,"[-115.1415, 36.17224]",-115.1415,36.17224
101,Madame Et Monsieur,3355 S Highland Dr Ste 107,Las Vegas,NV,89109,3355 S Highland Dr Ste 107 Las Vegas NV 89109,"[-115.1791, 36.12906]",-115.1791,36.12906
102,TrimBody M.D.,9310 S Eastern Ave Ste 122,Las Vegas,NV,89123,9310 S Eastern Ave Ste 122 Las Vegas NV 89123,"[-115.117435, 36.019535]",-115.117435,36.019535
103,Radiance Med Spa,9555 S Eastern Ave,Las Vegas,NV,89123,9555 S Eastern Ave Las Vegas NV 89123,"[-115.11885, 36.015]",-115.11885,36.015
104,Cal Spas of Las Vegas,7770 Dean Martin Dr,Las Vegas,NV,89139,7770 Dean Martin Dr Las Vegas NV 89139,"[-115.18346, 36.04799]",-115.18346,36.04799
105,Kelly's Organic Skin Care,4343 N Rancho Dr,Las Vegas,Nv,89130,4343 N Rancho Dr Las Vegas Nv 89130,"[-115.23334, 36.23888]",-115.23334,36.23888
106,Radiance Medspa,7210 W Lake Mead Blvd,Las Vegas,Nv,89128,7210 W Lake Mead Blvd Las Vegas Nv 89128,"[-115.24938, 36.19614]",-115.24938,36.19614
107,Nu Image Med Spa Inc,3753 Howard Hughes Pkwy,Las Vegas,Nv,89169,3753 Howard Hughes Pkwy Las Vegas Nv 89169,"[-115.1579, 36.12044]",-115.1579,36.12044
108,Episage Wellness Center,2110 E Flamingo Rd,Las Vegas,Nv,89119,2110 E Flamingo Rd Las Vegas NV 89119,"[-115.12317, 36.115655]",-115.12317,36.115655
109,"Haydee Docasar, MD - RejuVAnation",6785 W. Russell Road,Las Vegas,Nv,89119,6785 W. Russell Road Las Vegas NV 89118,"[-115.240385, 36.08464]",-115.240385,36.08464
110,International Beauty Show Las Vegas,3150 Paradise Rd,Las Vegas,Nv,89109,3150 Paradise Rd Las Vegas NV 89109,"[-115.15184, 36.13132]",-115.15184,36.13132
111,The Salt Room,10624 S Eastern Ave,Henderson,Nv,89052,10624 S Eastern Ave Henderson NV 89052,"[-115.101985, 35.998635]",-115.101985,35.998635
112,L'Occitane en Provence,755 S Grand Central Pkwy,Las Vegas,Nv,89106,755 S Grand Central Pkwy Las Vegas NV 89106,"[-115.15641, 36.16412]",-115.15641,36.16412
113,BestU Health Boutique,801 South Rancho Dr,Las Vegas,Nv,89106,801 South Rancho Dr Las Vegas NV 89106,"[-115.17195, 36.16148]",-115.17195,36.16148
114,Dr Refresh Las Vegas,3000 S Las Vegas Blvd,Las Vegas,Nv,89109,3000 S Las Vegas Blvd Las Vegas NV 89109,"[-115.16785, 36.13422]",-115.16785,36.13422
115,Infusion Care,8530 W. Sunset Rd.,Las Vegas,Nv,89113,8530 W. Sunset Rd. Las Vegas NV 89113,"[-115.27768, 36.07137]",-115.27768,36.07137
116,Las Vegas Dermatology,653 N Town Center Dr #414,Las Vegas,Nv,89144,653 N Town Center Dr #414 Las Vegas NV 89144,"[-115.31622, 36.18043]",-115.31622,36.18043
117,Hankins & Sohn Plastic Surgery Associates,60 N Pecos Rd,Henderson,Nv,89074,60 N Pecos Rd Henderson NV 89074,"[-115.09927, 36.03187]",-115.09927,36.03187
118,Avalon Institute - Las Vegas,2650 S Decatur Blvd,Las Vegas,Nv,89102,2650 S Decatur Blvd Las Vegas NV 89102,"[-115.20689, 36.14195]",-115.20689,36.14195
119,Las Vegas Skin & Cancer Buffalo,1250 S Buffalo Dr #170,Las Vegas,Nv,89117,1250 S Buffalo Dr #170 Las Vegas NV 89117,"[-115.26136, 36.15614]",-115.26136,36.15614
120,Elite Medical Center,150 E Harmon Ave,Las Vegas,Nv,89109,150 E Harmon Ave Las Vegas NV 89109,"[-115.1659, 36.10879]",-115.1659,36.10879
121,Alpha Vein Clinic,3150 N Tenaya Way Ste 400,Las Vegas,Nv,89128,3150 N Tenaya Way Ste 400 Las Vegas NV 89128,"[-115.24943, 36.21667]",-115.24943,36.21667
122,The Neck and Back Clinics,825 S 7th St,Las Vegas,Nv,89101,825 S 7th St Las Vegas NV 89101,"[-115.14372, 36.159455]",-115.14372,36.159455
123,Northwest Massage Student Clinic,2471 Professional Ct,Las Vegas,Nv,89128,2471 Professional Ct Las Vegas NV 89128,"[-115.25531, 36.20539]",-115.25531,36.20539
124,"Fast Fit Body Sculpting Of Henderson, Nevada",9480 S. Eastern Ave Suite 125,Las Vegas,Nv,89123,9480 S. Eastern Ave Suite 125 Las Vegas NV 89123,"[-115.11858, 36.01721]",-115.11858,36.01721
125,DermaBella Medical Spa and CoolSculpting Clinic,7170 Smoke Ranch Rd #150,Las Vegas,Nv,89128,7170 Smoke Ranch Rd #150 Las Vegas NV 89128,"[-115.24848, 36.20413]",-115.24848,36.20413
126,Apex Medical Spa,1701 Wellness Wy UNIT 201,Las Vegas,Nv,89106,1701 Wellness Wy UNIT 201 Las Vegas NV 89106,"[-115.16403, 36.16153]",-115.16403,36.16153
127,ReNu Image Med Spa,900 S Valley View Blvd #100,Las Vegas,Nv,89107,900 S Valley View Blvd #100 Las Vegas NV 89107,"[-115.19286, 36.16121]",-115.19286,36.16121
128,Center For Aesthetic Medicine and Human Performance,3038 S Durango Dr Suite 100,Las Vegas,Nv,89117,3038 S Durango Dr Suite 100 Las Vegas NV 89117,"[-115.27695, 36.13417]",-115.27695,36.13417
129,phaze laser med spa,9420 W Sahara Ave #105,Las Vegas,Nv,89117,9420 W Sahara Ave #105 Las Vegas NV 89117,"[-115.30039, 36.1445]",-115.30039,36.1445
130,Las Vegas Perfection Med Spa,1825 Village Center Cir #110,Las Vegas,Nv,89117,1825 Village Center Cir #110 Las Vegas NV 89117,"[-115.30131, 36.19296]",-115.30131,36.19296
131,Hangover IV,1810 E Sahara Ave #203,Las Vegas,Nv,89104,1810 E Sahara Ave #203 Las Vegas NV 89104,"[-115.12486, 36.145165]",-115.12486,36.145165
132,Bellavue Medical,7488 W Sahara Ave,Las Vegas,Nv,89117,7488 W Sahara Ave Las Vegas NV 89117,"[-115.25516, 36.14414]",-115.25516,36.14414
133,Beautiful MedSpa,4280 S Hualapai Way #200,Las Vegas,Nv,89147,4280 S Hualapai Way #200 Las Vegas NV 89147,"[-115.31434, 36.11206]",-115.31434,36.11206
134,New Life New Image,8867 W Flamingo Rd UNIT 101,Las Vegas,Nv,89147,8867 W Flamingo Rd UNIT 101 Las Vegas NV 89147,"[-115.28506, 36.11382]",-115.28506,36.11382
135,VIP Luxury Salon & Spa,3779 E Desert Inn Rd,Las Vegas,Nv,89121,3779 E Desert Inn Rd Las Vegas NV 89121,"[-115.09283, 36.12969]",-115.09283,36.12969
136,eBodyRenew HQ (by Madame et Monsieur),2610 W Horizon Ridge Pkwy Suite #200,Henderson,Nv,89109,2610 W Horizon Ridge Pkwy Suite #200 Henderson NV 89109,"[-115.102411, 36.002865]",-115.102411,36.002865
137,White Coat Aesthetics,2400 N Buffalo Dr Ste 110,Las Vegas,Nv,89128,2400 N Buffalo Dr Ste 110 Las Vegas NV 89128,"[-115.259975, 36.20406]",-115.259975,36.20406
138,Spring Mountain Aesthetics,4276 Spring Mountain Rd Suite 200,Las Vegas,Nv,89102,4276 Spring Mountain Rd Suite 200 Las Vegas NV 89102,"[-115.197186, 36.127955]",-115.197186,36.127955
139,Indulge Aesthetics,3975 S Durango Dr # 101,Las Vegas,Nv,89147,3975 S Durango Dr # 101 Las Vegas NV 89147,"[-115.27966, 36.11789]",-115.27966,36.11789
140,Cosmetique Aesthetics,7710 W Sahara Ave suite 102,Las Vegas,Nv,89117,7710 W Sahara Ave suite 102 Las Vegas NV 89117,"[-115.25934, 36.14473]",-115.25934,36.14473
141,LIV Beautiful Premier Aesthetics,3200 N Soaring Gulls Dr suite 103,Las Vegas,Nv,89128,3200 N Soaring Gulls Dr suite 103 Las Vegas NV 89128,"[-115.27431, 36.21887]",-115.27431,36.21887
142,"Love Your Body Medical Spa: Divina Averilla, MD",5693 S Jones Blvd #108,Las Vegas,Nv,89128,5693 S Jones Blvd #108 Las Vegas NV 89118,"[-115.22596, 36.08648]",-115.22596,36.08648
143,Violetas Organic Spa,8751 W Charleston Blvd Suite # 190,Las Vegas,Nv,89117,8751 W Charleston Blvd Suite # 190 Las Vegas NV 89117,"[-115.28584, 36.15805]",-115.28584,36.15805
144,Kalologie Medspa,3730 S Las Vegas Blvd,Las Vegas,Nv,89158,3730 S Las Vegas Blvd Las Vegas NV 89158,"[-115.17673, 36.10719]",-115.17673,36.10719
145,VR Health Clinic Virtual Reality Neurofeedback,730 W Cheyenne Ave Unit 30,North Las Vegas,Nv,89030,730 W Cheyenne Ave Unit 30 North Las Vegas NV 89030,"[-115.15098, 36.21792]",-115.15098,36.21792
146,Novuskin Med Spa,7155 S Rainbow Blvd Suite 200,Las Vegas,Nv,89030,7155 S Rainbow Blvd Suite 200 Las Vegas NV 89118,"[-115.2435, 36.05825]",-115.2435,36.05825
