,BusinessName,Address,City,State,ZIP,location,coordinates,longitude,lattitude
644,Luna Aesthetics,8130 W Warm Springs Rd Suite 131,Las Vegas,Nv,89107,8130 W Warm Springs Rd Suite 131 Las Vegas NV 89107,"[-115.26842, 36.056395]",-115.26842,36.056395
645,"Dr. John M. Clair Sr, DO",2250 E Flamingo Rd,Las Vegas,Nv,89119,2250 E Flamingo Rd Las Vegas NV 89119,"[-115.12148, 36.11571]",-115.12148,36.11571
646,The Westin Las Vegas Hotel & Spa,160 E Flamingo Rd,Las Vegas,Nv,89109,160 E Flamingo Rd Las Vegas NV 89109,"[-115.165575, 36.11525]",-115.165575,36.11525
647,JW Marriott Las Vegas Resort & Spa,221 N Rampart Blvd,Las Vegas,Nv,89109,221 N Rampart Blvd Las Vegas NV 89145,"[-115.2914, 36.17588]",-115.2914,36.17588
648,The Wax Genie,515 Rose St,Las Vegas,Nv,89106,515 Rose St Las Vegas NV 89106,"[-115.1673, 36.16548]",-115.1673,36.16548
649,MVP Therapeutics,Camelback Road Scottsdale,Las Vegas,Nv,89123,Camelback Road Scottsdale Las Vegas NV 89123,"[-115.15335, 36.027115]",-115.15335,36.027115
650,My Tight Face,2685 S Rainbow Blvd,Las Vegas,Nv,89146,2685 S Rainbow Blvd Las Vegas NV 89146,"[-115.2436, 36.141005]",-115.2436,36.141005
651,Attitude Medi Spa,9480 S Eastern Ave,Las Vegas,Nv,89123,9480 S Eastern Ave Las Vegas NV 89123,"[-115.11858, 36.01721]",-115.11858,36.01721
652,SILVER LININGS WELLNESS,1900 E Desert Inn Rd,Las Vegas,Nv,89169,1900 E Desert Inn Rd Las Vegas NV 89169,"[-115.1256, 36.13021]",-115.1256,36.13021
653,Luxury Laser Center,7131 W Craig Rd #107,Las Vegas,Nv,89129,7131 W Craig Rd #107 Las Vegas NV 89129,"[-115.2505, 36.24033]",-115.2505,36.24033
